"file","function","score","rank"
astutils.cpp,_ZL24getLHSVariablesRecursiveRNSt7__debug6vectorIPK8VariableSaIS3_EEEPK5Token,0.125,102
tokenize.cpp,_ZN9Tokenizer15calculateScopesEv,0.125,102
tokenize.cpp,_ZN9Tokenizer24setVarIdClassDeclarationEPK5TokenRKNS_11VariableMapEiRNSt7__debug3mapIiNS7_INSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEiSt4lessISD_ESaISt4pairIKSD_iEEEESE_IiESaISG_IKiSK_EEEE,0.125,102
tokenize.cpp,_ZN9Tokenizer13setVarIdPass1Ev,0.125,102
valueflow.cpp,_ZZL22valueFlowForwardAssignP5TokenPKS_NSt7__debug6vectorIPK8VariableSaIS7_EEENS3_4listIN9ValueFlow5ValueESaISC_EEEbP9TokenListP11ErrorLoggerPK8SettingsENKUlS7_E_clES7_,0.125,102
symboldatabase.cpp,_ZNK14SymbolDatabase16findVariableTypeEPK5ScopePK5Token,0.125,102
symboldatabase.cpp,_ZNK14SymbolDatabase8findTypeEPK5TokenPK5Scope,0.125,102
tokenize.cpp,_ZN9Tokenizer24simplifyFunctionPointersEv,0.125,102
tokenize.cpp,_ZN9Tokenizer15simplifyVarDeclEP5TokenPKS0_b,0.125,102
forwardanalyzer.cpp,_ZN16ForwardTraversal12reentersLoopEP5TokenPKS0_S3_,0.1111111111111111,111
tokenlist.cpp,_ZL16iscpp11init_implPK5Token,0.1111111111111111,111
templatesimplifier.cpp,_ZN18TemplateSimplifier25getTemplateInstantiationsEv,0.1111111111111111,111
astutils.cpp,_Z13isThisChangedPK5TokeniPK8Settingsb,0.1111111111111111,111
token.cpp,_ZN5Token8typeDeclEPKS_,0.1111111111111111,111
valueflow.cpp,_ZL28valueFlowLifetimeConstructorP5TokenP9TokenListP11ErrorLoggerPK8Settings,0.1111111111111111,111
symboldatabase.cpp,_ZL39findVariableTypeIncludingUsedNamespacesPK14SymbolDatabasePK5ScopePK5Token,0.1111111111111111,111
symboldatabase.cpp,_ZL13getClassScopePK5Token,0.1111111111111111,111
tokenize.cpp,_ZN9Tokenizer20simplifyOperatorNameEv,0.1111111111111111,111
checkclass.cpp,_ZL5isVclPK8Settings,0.1,133
tokenlist.cpp,_ZN9TokenList8addtokenEPK5Tokeniii,0.1,133
templatesimplifier.cpp,_ZN18TemplateSimplifier39checkComplicatedSyntaxErrorsInTemplatesEv,0.1,133
valueflow.cpp,_ZL25valueFlowSetConstantValueP5TokenPK8Settingsb,0.1,133
tokenlist.cpp,_ZL10compileXorRP5TokenR9AST_state,0.1,133
valueflow.cpp,_ZL14valueFlowArrayP9TokenList,0.1,133
templatesimplifier.cpp,_ZN18TemplateSimplifier39getTemplateNamePositionTemplateFunctionEPK5TokenRi,0.1,133
astutils.cpp,_Z19isConstFunctionCallPK5TokenRK7Library,0.1,133
library.cpp,_Z19getLibraryContainerPK5Token,0.1,133
tokenize.cpp,_ZN12_GLOBAL__N_112setScopeInfoEP5TokenPPNS_10ScopeInfo3Eb,0.1,133
symboldatabase.cpp,_ZN14SymbolDatabase14addNewFunctionEPP5ScopePPK5Token,0.1,133
symboldatabase.cpp,_ZNK4Type13isDerivedFromERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,0.1,133
valueflow.cpp,_ZL24valueFlowForwardLifetimeP5TokenP9TokenListP11ErrorLoggerPK8Settings,0.1,133
templatesimplifier.cpp,_ZN18TemplateSimplifier20replaceTemplateUsageERKNS_12TokenAndNameERKNSt7__debug4listINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaISA_EEERKSA_,0.1,133
templatesimplifier.cpp,_ZL9specMatchRKN18TemplateSimplifier12TokenAndNameES2_,0.1,133
valueflow.cpp,_ZL25valueFlowLifetimeFunctionP5TokenP9TokenListP11ErrorLoggerPK8Settings,0.1,133
symboldatabase.cpp,_ZNK14SymbolDatabase14findEnumeratorEPK5Token,0.1,133
symboldatabase.cpp,_ZNK5Scope18findFunctionInBaseERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEiRNSt7__debug6vectorIPK8FunctionSaISC_EEE,0.1,133
symboldatabase.cpp,_ZNK14SymbolDatabase13findNamespaceEPK5TokenPK5Scope,0.1,133
valueflow.cpp,_ZL24valueFlowInjectParameterP9TokenListPK8SettingsPK8VariablePK5ScopeRKNSt7__debug4listIN9ValueFlow5ValueESaISD_EEE,0.1,133
valueflow.cpp,_ZL33valueFlowFunctionDefaultParameterP9TokenListP14SymbolDatabasePK8Settings,0.1,133
tokenize.cpp,_ZN9Tokenizer12simplifyAsm2Ev,0.1,133
tokenlist.cpp,_ZN9TokenList8addtokenENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEiiib,0.09090909090909091,156
forwardanalyzer.cpp,_ZN16ForwardTraversal11updateRangeEP5TokenPKS0_i,0.09090909090909091,156
stl_tree.h,_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_jESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE12_M_rightmostEv,0.09090909090909091,156
tokenlist.cpp,_ZL11compileTermRP5TokenR9AST_state,0.09090909090909091,156
token.cpp,_ZN5Token18findOpeningBracketEv,0.09090909090909091,156
astutils.cpp,_ZL19isSameConstantValuebPK5TokenS1_,0.09090909090909091,156
valueflow.cpp,_ZN9ValueFlow9getSizeOfERK9ValueTypePK8Settings,0.09090909090909091,156
symboldatabase.cpp,_ZN14SymbolDatabase39createSymbolDatabaseSetVariablePointersEv,0.09090909090909091,156
tokenlist.cpp,_ZL19isLambdaCaptureListPK5Token,0.09090909090909091,156
valueflow.cpp,_ZL12removeAssignRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,0.09090909090909091,156
valueflow.cpp,_Z15calculateAssignIxxET_RKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERKS0_RKT0_Pb,0.09090909090909091,156
valueflow.cpp,_Z14evalAssignmentIKN9ValueFlow5ValueEvEbRT_RKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERS2_,0.09090909090909091,156
stl_tree.h,_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_jESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE14_M_lower_boundEPSt13_Rb_tree_nodeIS8_EPSt18_Rb_tree_node_baseRS7_,0.09090909090909091,156
token.cpp,_ZL13mergeAdjacentRNSt7__debug4listIN9ValueFlow5ValueESaIS2_EEE,0.09090909090909091,156
stl_tree.h,_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_jESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE29_M_get_insert_hint_unique_posESt23_Rb_tree_const_iteratorIS8_ERS7_,0.09090909090909091,156
valueflow.cpp,_ZNK17ValueFlowAnalyzer7analyzeEPK5TokenN8Analyzer9DirectionE,0.09090909090909091,156
valueflow.cpp,_ZN13LifetimeStoreC2Ev,0.09090909090909091,156
valueflow.cpp,_ZZL28valueFlowLifetimeConstructorP5TokenPK4TypeP9TokenListP11ErrorLoggerPK8SettingsENKUlRK13LifetimeStoreE0_clESD_,0.09090909090909091,156
valueflow.cpp,_ZL16isDecayedPointerPK5Token,0.09090909090909091,156
symboldatabase.cpp,_ZN5Scope13checkVariableEPK5Token13AccessControlPK8Settings,0.09090909090909091,156
symboldatabase.cpp,_ZNK5Scope16findRecordInBaseERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE,0.09090909090909091,156
valueflow.cpp,_ZNK9ValueFlow5Value10infoStringB5cxx11Ev,0.09090909090909091,156
tokenize.cpp,_ZN9Tokenizer18simplifyStructDeclEv,0.09090909090909091,156
forwardanalyzer.cpp,_ZNK16ForwardTraversal15isConditionTrueEPK5TokenS2_,0.08333333333333333,171
forwardanalyzer.cpp,_ZNK16ForwardTraversal4forkEb,0.08333333333333333,171
tokenlist.cpp,_ZN9TokenList8addtokenEPK5TokenS2_,0.08333333333333333,171
forwardanalyzer.cpp,_ZZN16ForwardTraversal12reentersLoopEP5TokenPKS0_S3_ENKUlS3_E_clES3_,0.08333333333333333,171
valueflow.cpp,_Z7isEqualIdEbT_S0_,0.08333333333333333,171
stl_tree.h,_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_jESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE8_S_valueEPKSt18_Rb_tree_node_base,0.08333333333333333,171
stl_tree.h,_ZNSt8_Rb_treeINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS5_jESt10_Select1stIS8_ESt4lessIS5_ESaIS8_EE6_S_keyEPKSt18_Rb_tree_node_base,0.08333333333333333,171
templatesimplifier.cpp,_ZN18TemplateSimplifier39getTemplateNamePositionTemplateVariableEPK5TokenRi,0.08333333333333333,171
symboldatabase.cpp,_ZN14SymbolDatabase32setArrayDimensionsUsingValueFlowEv,0.08333333333333333,171
valueflow.cpp,_ZNK17ValueFlowAnalyzer14isThisModifiedEPK5Token,0.08333333333333333,171
astutils.cpp,_Z14getArgumentPosPK8VariablePK8Function,0.08333333333333333,171
astutils.cpp,_ZZ14getArgumentPosPK8VariablePK8FunctionENKUlRS0_E_clES5_,0.08333333333333333,171
symboldatabase.cpp,_ZL14usingNamespacePK5ScopePK5TokenS4_Ri,0.08333333333333333,171
templatesimplifier.cpp,_ZL23matchTemplateParametersPK5TokenRKNSt7__debug4listINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS9_EEE,0.08333333333333333,171
valueflow.cpp,_ZL23valueFlowFunctionReturnP9TokenListP11ErrorLogger,0.08333333333333333,171
